County	Collections	Data_Period_Business_Key
Buncombe	22482331.0	2019M05
Buncombe	23378632.0	2019M06
Buncombe	24077379.0	2019M07
Buncombe	23414035.0	2019M08
Buncombe	23040063.0	2019M09
Buncombe	23989132.0	2019M10
Buncombe	24686920.0	2019M11
Buncombe	24041364.0	2019M12
Buncombe	26831073.0	2020M01
Buncombe	20359405.0	2020M02
Burke	2953600.0	2018M10
Burke	3013813.0	2018M11
Burke	2903944.0	2018M12
Burke	3305501.0	2019M01
Burke	2806882.0	2019M02
Burke	2846390.0	2019M03
Burke	3360081.0	2019M04
Burke	3224131.0	2019M05
Burke	3281410.0	2019M06
Burke	3278484.0	2019M07
Burke	3093676.0	2019M08
Burke	3088111.0	2019M09
Burke	3203470.0	2019M10
Burke	3079500.0	2019M11
Burke	3135706.0	2019M12
Burke	3680729.0	2020M01
Burke	2751400.0	2020M02
Cabarrus	14335666.0	2018M10
Cabarrus	14064535.0	2018M11
Cabarrus	14797784.0	2018M12
Cabarrus	16700574.0	2019M01
Cabarrus	12861720.0	2019M02
Cabarrus	13073078.0	2019M03
Cabarrus	15757329.0	2019M04
Cabarrus	15265361.0	2019M05
Cabarrus	15532943.0	2019M06
Cabarrus	15271704.0	2019M07
Cabarrus	14488119.0	2019M08
Cabarrus	14826318.0	2019M09
Cabarrus	14603171.0	2019M10
Cabarrus	14374043.0	2019M11
Cabarrus	15089603.0	2019M12
Cabarrus	17552491.0	2020M01
Cabarrus	13533176.0	2020M02
Caldwell	2524343.0	2018M10
Caldwell	2362581.0	2018M11
Caldwell	2574935.0	2018M12
Caldwell	2726693.0	2019M01
Caldwell	2244861.0	2019M02
Caldwell	2348856.0	2019M03
Caldwell	2695082.0	2019M04
Caldwell	2581494.0	2019M05
Caldwell	2741208.0	2019M06
Caldwell	2788565.0	2019M07
Caldwell	2563637.0	2019M08
Caldwell	2649058.0	2019M09
Caldwell	2668478.0	2019M10
Caldwell	2536179.0	2019M11
Caldwell	2690987.0	2019M12
Caldwell	3015517.0	2020M01
Caldwell	2287303.0	2020M02
Camden	216319.0	2018M10
Camden	202404.0	2018M11
Camden	213031.0	2018M12
Camden	223920.0	2019M01
Camden	206228.0	2019M02
Camden	191560.0	2019M03
Camden	279546.0	2019M04
Camden	236648.0	2019M05
Camden	221475.0	2019M06
Camden	280325.0	2019M07
Camden	238380.0	2019M08
Camden	240868.0	2019M09
Camden	236976.0	2019M10
Camden	229404.0	2019M11
Camden	231457.0	2019M12
Camden	279391.0	2020M01
Camden	224671.0	2020M02
Carteret	4261885.0	2018M10
Carteret	5050658.0	2018M11
Carteret	5031918.0	2018M12
Carteret	5023057.0	2019M01
Carteret	4381189.0	2019M02
Carteret	4166188.0	2019M03
Carteret	5410929.0	2019M04
Carteret	5557428.0	2019M05
Carteret	6158511.0	2019M06
Carteret	7322192.0	2019M07
Carteret	7192594.0	2019M08
Carteret	6497902.0	2019M09
Carteret	5360809.0	2019M10
Carteret	5097203.0	2019M11
