	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
92	39007	AshtabulaCounty	Management of companies and enterprises	2001	
93	39007	AshtabulaCounty	Administrative and support and waste management and remediation services	2001	31252.0
94	39007	AshtabulaCounty	Educational services	2001	5839.0
95	39007	AshtabulaCounty	Health care and social assistance	2001	165757.0
96	39007	AshtabulaCounty	Arts, entertainment, and recreation	2001	6767.0
97	39007	AshtabulaCounty	Accommodation and food services	2001	50604.0
98	39007	AshtabulaCounty	Other services (except government and government enterprises)	2001	54520.0
99	39007	AshtabulaCounty	Government and government enterprises	2001	265455.0
100	39009	AthensCounty	Agriculture, forestry, fishing and hunting	2001	2286.0
101	39009	AthensCounty	Mining, quarrying, and oil and gas extraction	2001	3383.0
102	39009	AthensCounty	Utilities	2001	7831.0
103	39009	AthensCounty	Construction	2001	43162.0
104	39009	AthensCounty	Manufacturing	2001	47730.0
105	39009	AthensCounty	Wholesale trade	2001	13174.0
106	39009	AthensCounty	Retail trade	2001	106479.0
107	39009	AthensCounty	Transportation and warehousing	2001	15205.0
108	39009	AthensCounty	Information	2001	25149.0
109	39009	AthensCounty	Finance and insurance	2001	47445.0
110	39009	AthensCounty	Real estate and rental and leasing	2001	177279.0
111	39009	AthensCounty	Professional and business services	2001	62021.0
112	39009	AthensCounty	Management of companies and enterprises	2001	
113	39009	AthensCounty	Administrative and support and waste management and remediation services	2001	
114	39009	AthensCounty	Educational services	2001	2866.0
115	39009	AthensCounty	Health care and social assistance	2001	94534.0
116	39009	AthensCounty	Arts, entertainment, and recreation	2001	3926.0
117	39009	AthensCounty	Accommodation and food services	2001	33143.0
118	39009	AthensCounty	Other services (except government and government enterprises)	2001	35538.0
119	39009	AthensCounty	Government and government enterprises	2001	539418.0
120	39011	AuglaizeCounty	Agriculture, forestry, fishing and hunting	2001	
121	39011	AuglaizeCounty	Mining, quarrying, and oil and gas extraction	2001	1948.0
122	39011	AuglaizeCounty	Utilities	2001	3702.0
123	39011	AuglaizeCounty	Construction	2001	63095.0
124	39011	AuglaizeCounty	Manufacturing	2001	558997.0
125	39011	AuglaizeCounty	Wholesale trade	2001	71372.0
126	39011	AuglaizeCounty	Retail trade	2001	76843.0
127	39011	AuglaizeCounty	Transportation and warehousing	2001	
128	39011	AuglaizeCounty	Information	2001	16251.0
129	39011	AuglaizeCounty	Finance and insurance	2001	51409.0
130	39011	AuglaizeCounty	Real estate and rental and leasing	2001	117037.0
131	39011	AuglaizeCounty	Professional and business services	2001	51139.0
132	39011	AuglaizeCounty	Management of companies and enterprises	2001	22900.0
133	39011	AuglaizeCounty	Administrative and support and waste management and remediation services	2001	8975.0
134	39011	AuglaizeCounty	Educational services	2001	1871.0
135	39011	AuglaizeCounty	Health care and social assistance	2001	60926.0
136	39011	AuglaizeCounty	Arts, entertainment, and recreation	2001	4400.0
137	39011	AuglaizeCounty	Accommodation and food services	2001	21773.0
138	39011	AuglaizeCounty	Other services (except government and government enterprises)	2001	35422.0
139	39011	AuglaizeCounty	Government and government enterprises	2001	113593.0
140	39013	BelmontCounty	Agriculture, forestry, fishing and hunting	2001	9894.0
141	39013	BelmontCounty	Mining, quarrying, and oil and gas extraction	2001	98507.0
142	39013	BelmontCounty	Utilities	2001	76144.0
143	39013	BelmontCounty	Construction	2001	59415.0
144	39013	BelmontCounty	Manufacturing	2001	107973.0
145	39013	BelmontCounty	Wholesale trade	2001	42130.0
146	39013	BelmontCounty	Retail trade	2001	194618.0
147	39013	BelmontCounty	Transportation and warehousing	2001	42123.0
148	39013	BelmontCounty	Information	2001	34314.0
149	39013	BelmontCounty	Finance and insurance	2001	105544.0
150	39013	BelmontCounty	Real estate and rental and leasing	2001	168776.0
151	39013	BelmontCounty	Professional and business services	2001	67051.0
152	39013	BelmontCounty	Management of companies and enterprises	2001	26679.0
153	39013	BelmontCounty	Administrative and support and waste management and remediation services	2001	11193.0
154	39013	BelmontCounty	Educational services	2001	4283.0
155	39013	BelmontCounty	Health care and social assistance	2001	142137.0
156	39013	BelmontCounty	Arts, entertainment, and recreation	2001	6300.0
157	39013	BelmontCounty	Accommodation and food services	2001	46174.0
158	39013	BelmontCounty	Other services (except government and government enterprises)	2001	41552.0
159	39013	BelmontCounty	Government and government enterprises	2001	201123.0
160	39015	BrownCounty	Agriculture, forestry, fishing and hunting	2001	
161	39015	BrownCounty	Mining, quarrying, and oil and gas extraction	2001	0.0
