	GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
66	37005	AlleghanyCounty	Northwest	High Country	Retail trade	2001	15464.0
67	37005	AlleghanyCounty	Northwest	High Country	Transportation and warehousing	2001	
68	37005	AlleghanyCounty	Northwest	High Country	Information	2001	1874.0
69	37005	AlleghanyCounty	Northwest	High Country	Finance and insurance	2001	14124.0
70	37005	AlleghanyCounty	Northwest	High Country	Real estate and rental and leasing	2001	25989.0
71	37005	AlleghanyCounty	Northwest	High Country	Professional and business services	2001	3169.0
72	37005	AlleghanyCounty	Northwest	High Country	Management of companies and enterprises	2001	0.0
73	37005	AlleghanyCounty	Northwest	High Country	Administrative and support and waste management and remediation services	2001	1619.0
74	37005	AlleghanyCounty	Northwest	High Country	Educational services	2001	
75	37005	AlleghanyCounty	Northwest	High Country	Health care and social assistance	2001	
76	37005	AlleghanyCounty	Northwest	High Country	Arts, entertainment, and recreation	2001	3564.0
77	37005	AlleghanyCounty	Northwest	High Country	Accommodation and food services	2001	3358.0
78	37005	AlleghanyCounty	Northwest	High Country	Other services (except government and government enterprises)	2001	6009.0
79	37005	AlleghanyCounty	Northwest	High Country	Government and government enterprises	2001	26734.0
80	37007	AnsonCounty	Southwest	Centralina	Agriculture, forestry, fishing and hunting	2001	71730.0
81	37007	AnsonCounty	Southwest	Centralina	Mining, quarrying, and oil and gas extraction	2001	16016.0
82	37007	AnsonCounty	Southwest	Centralina	Utilities	2001	5200.0
83	37007	AnsonCounty	Southwest	Centralina	Construction	2001	15769.0
84	37007	AnsonCounty	Southwest	Centralina	Manufacturing	2001	156212.0
85	37007	AnsonCounty	Southwest	Centralina	Wholesale trade	2001	28097.0
86	37007	AnsonCounty	Southwest	Centralina	Retail trade	2001	26010.0
87	37007	AnsonCounty	Southwest	Centralina	Transportation and warehousing	2001	
88	37007	AnsonCounty	Southwest	Centralina	Information	2001	4370.0
89	37007	AnsonCounty	Southwest	Centralina	Finance and insurance	2001	18748.0
90	37007	AnsonCounty	Southwest	Centralina	Real estate and rental and leasing	2001	44687.0
91	37007	AnsonCounty	Southwest	Centralina	Professional and business services	2001	16760.0
92	37007	AnsonCounty	Southwest	Centralina	Management of companies and enterprises	2001	
93	37007	AnsonCounty	Southwest	Centralina	Administrative and support and waste management and remediation services	2001	4518.0
94	37007	AnsonCounty	Southwest	Centralina	Educational services	2001	54.0
95	37007	AnsonCounty	Southwest	Centralina	Health care and social assistance	2001	16960.0
96	37007	AnsonCounty	Southwest	Centralina	Arts, entertainment, and recreation	2001	
97	37007	AnsonCounty	Southwest	Centralina	Accommodation and food services	2001	
98	37007	AnsonCounty	Southwest	Centralina	Other services (except government and government enterprises)	2001	12188.0
99	37007	AnsonCounty	Southwest	Centralina	Government and government enterprises	2001	100701.0
100	37009	AsheCounty	Northwest	High Country	Agriculture, forestry, fishing and hunting	2001	40035.0
101	37009	AsheCounty	Northwest	High Country	Mining, quarrying, and oil and gas extraction	2001	1480.0
102	37009	AsheCounty	Northwest	High Country	Utilities	2001	
103	37009	AsheCounty	Northwest	High Country	Construction	2001	44483.0
104	37009	AsheCounty	Northwest	High Country	Manufacturing	2001	141262.0
105	37009	AsheCounty	Northwest	High Country	Wholesale trade	2001	
106	37009	AsheCounty	Northwest	High Country	Retail trade	2001	41515.0
107	37009	AsheCounty	Northwest	High Country	Transportation and warehousing	2001	5926.0
