	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
74	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-04	311536.0	Count
75	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-05	336769.0	Count
76	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-06	366213.0	Count
77	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-07	397748.0	Count
78	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-08	429316.0	Count
79	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-09	463684.0	Count
80	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-10	496914.0	Count
81	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-11	528397.0	Count
82	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-12	555327.0	Count
83	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-13	580853.0	Count
84	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-14	607285.0	Count
85	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-15	637056.0	Count
86	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-16	668533.0	Count
87	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-17	699853.0	Count
88	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-18	728094.0	Count
89	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-19	753314.0	Count
90	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-20	780449.0	Count
91	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-21	805771.0	Count
92	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-22	834338.0	Count
93	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-23	868019.0	Count
94	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-24	904604.0	Count
95	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-25	938750.0	Count
96	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-26	965214.0	Count
97	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-27	988143.0	Count
98	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-28	1012572.0	Count
99	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-29	1039166.0	Count
100	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-04-30	1069559.0	Count
101	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-01	1103544.0	Count
102	0	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-02	1133083.0	Count
