	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
62	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-23	550.0	Count
63	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-24	731.0	Count
64	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-25	989.0	Count
65	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-26	1275.0	Count
66	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-27	1648.0	Count
67	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-28	2134.0	Count
68	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-29	2487.0	Count
69	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-30	3068.0	Count
70	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-03-31	3911.0	Count
71	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-01	4841.0	Count
72	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-02	5952.0	Count
73	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-03	7121.0	Count
74	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-04	8499.0	Count
75	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-05	9654.0	Count
76	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-06	10958.0	Count
77	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-07	12957.0	Count
78	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-08	14803.0	Count
79	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-09	16673.0	Count
80	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-10	18710.0	Count
81	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-11	20574.0	Count
82	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-12	22055.0	Count
83	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-13	23606.0	Count
84	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-14	26080.0	Count
85	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-15	28582.0	Count
86	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-16	30723.0	Count
87	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-17	32910.0	Count
88	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-18	34726.0	Count
89	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-19	36109.0	Count
90	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-20	37795.0	Count
91	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-21	40316.0	Count
92	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-22	42495.0	Count
93	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-23	44516.0	Count
94	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-24	46503.0	Count
95	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-25	48325.0	Count
96	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-26	49464.0	Count
97	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-27	50819.0	Count
98	0	United States	NYTI_NAT_COV04	COVID-19 Confirmed Deaths		2020-04-28	53034.0	Count
