,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
29," ""37027""","Caldwell, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,9194,8601,8628,8707,8488,8362,9286,8989,6291,5283,4825,4905,5032,6033,6542,7416,7779,9644
30," ""37029""","Camden, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,2572,2633,3266,3714,5447,10586,11081,7891,5518,4825,4194,3780,3225,3584,3487,3852,3926,4132
31," ""37029""","Camden, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),659,544,1247,4902,5281,3241,1187,918,373,671,212,338,347,512,686,705
32," ""37031""","Carteret, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,40887,38388,42182,51328,57882,68014,70159,69382,60358,54811,45742,47143,45782,49303,53484,55367,72366,73983
33," ""37031""","Carteret, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,16401,15600,17311,20487,20852,22323,21944,20901,19844,15137,12695,12853,12841,14894,17579,17783,20183,20121
34," ""37033""","Caswell, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,6434,6779,6210,6208,6240,8198,9898,7547,7126,6504,5628,4680,5603,7011,9753,9668,11417,17403
35," ""37033""","Caswell, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,2921,3305,3562,3342,3416,5193,6478,4284,(D),3438,3441,2703,3254,4990,(D),(D),8082,11938
36," ""37035""","Catawba, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,137373,125551,109254,106852,118308,136098,146497,137630,118980,125293,108251,97108,103716,112653,111356,122914,144381,164655
37," ""37035""","Catawba, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,43256,37371,34176,31383,34051,43940,47548,35935,30790,25920,21310,16025,16221,19148,19608,24186,27733,36552
38," ""37037""","Chatham, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,33009,26124,26081,28535,32969,40451,42468,37344,32880,31099,32685,32239,36945,37296,40214,46332,51865,54633
39," ""37037""","Chatham, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,10379,9352,8752,10305,11560,12210,13885,11279,8171,8555,8761,8541,8897,9424,9473,9537,9371,10487
40," ""37039""","Cherokee, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,18176,17475,18846,20164,24133,30193,32989,29349,20962,(D),(D),15694,(D),(D),18106,19524,19967,20722
41," ""37039""","Cherokee, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,6420,6098,6697,5651,5627,7124,8134,5433,3568,(D),(D),2584,(D),3900,2821,3085,2467,3034
42," ""37041""","Chowan, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,6202,6387,7315,8559,9276,9477,11252,9958,8365,7072,7142,7864,7979,8986,8085,9208,9889,9440
43," ""37041""","Chowan, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,1623,1507,1854,2309,2820,3355,3882,3416,2773,1946,2079,(D),2074,1717,(D),(D),(D),(D)
44," ""37043""","Clay, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,7918,7045,7181,8622,10171,12593,12868,11191,8415,7998,7551,6770,6656,(D),7999,8702,8895,9609
45," ""37043""","Clay, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,1782,1819,1502,1747,2414,2665,2864,1966,1202,1011,996,1002,1235,1213,1050,1103,981,1073
46," ""37045""","Cleveland, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,55171,50215,48645,53077,59787,61239,64800,61404,53649,54377,60179,69268,75221,77877,81763,85289,108700,111099
47," ""37045""","Cleveland, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,13834,14403,15062,15388,14758,16217,17286,15368,12733,12373,11455,14953,19932,18778,20431,21597,21232,22507
48," ""37047""","Columbus, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,20196,21048,20298,20918,26136,22198,24202,20056,16294,17845,13690,14865,15718,16795,17078,19793,21296,25068
49," ""37047""","Columbus, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,9202,11224,9211,8083,12459,7026,4920,4384,4171,6802,4100,4420,3990,4639,5389,5120,5238,6872
50," ""37049""","Craven, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,78260,62396,83549,74142,77583,79475,85817,74349,66362,64650,63631,61303,58936,62745,62683,66626,67284,69110
51," ""37049""","Craven, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,13641,15154,19147,23104,25426,19741,22005,20554,16108,12032,11745,11017,9416,8736,8518,8505,9437,9667
52," ""37051""","Cumberland, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,165972,239215,242394,204491,254890,281075,317298,268827,252469,255825,259749,259248,264711,243430,254777,252492,278964,372834
53," ""37051""","Cumberland, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,47326,122339,130979,85229,110389,118560,141601,98472,82121,85480,96617,91606,86042,70965,68064,53236,63484,142369
54," ""37053""","Currituck, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,13914,14697,19892,22653,24220,25552,22197,17502,13797,13408,13061,13200,13490,15425,16873,19007,21647,25334
55," ""37053""","Currituck, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,5386,5982,8047,8980,9545,10117,7254,5004,(D),(D),(D),4471,4746,5342,5984,6992,7806,10393
