,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
128," ""37127""","Nash, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
129," ""37127""","Nash, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
130," ""37129""","New Hanover, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,2858,3508,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
131," ""37129""","New Hanover, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
132," ""37131""","Northampton, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),0,0,0,0,0,0,(D),(D),0,(D),(D),0,0,0
133," ""37131""","Northampton, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,(D),(D),0,0,0
134," ""37133""","Onslow, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),2008,1622,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
135," ""37133""","Onslow, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
136," ""37135""","Orange, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,2408,2264,(D),(D),(D),1946,2659,2240,2004,2307,2651,2519,(D),1548,1669,1624,(D),1001
137," ""37135""","Orange, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,2408,2264,(D),(D),(D),1946,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1001
138," ""37137""","Pamlico, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),0,0,0,0
139," ""37137""","Pamlico, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140," ""37139""","Pasquotank, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141," ""37139""","Pasquotank, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142," ""37141""","Pender, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),1766,1780,1872,2701,(D),1365,(D),(D),(D),(D),(D)
143," ""37141""","Pender, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
144," ""37143""","Perquimans, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,(D),0,0,0,0,0,0,0,0
145," ""37143""","Perquimans, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146," ""37145""","Person, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0
147," ""37145""","Person, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0
148," ""37147""","Pitt, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1691,(D),(D)
149," ""37147""","Pitt, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1691,(D),(D)
150," ""37149""","Polk, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),0,0
151," ""37149""","Polk, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),0,0
152," ""37151""","Randolph, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,2882,2665,2821,1986,2126,(D),(D),(D),(D),(D),(D),2505,2018,2163,2339,2103,3357,2349
153," ""37151""","Randolph, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,2882,2665,2821,1986,2126,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
154," ""37153""","Richmond, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,7127,6718,7092,7448,7667,8607,9204,8652,6755,7671,7677,7217,8073,8490,(D),(D),(D),10732
155," ""37153""","Richmond, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,7127,6718,7092,7448,7667,8607,9204,8652,6755,7671,7677,7217,8073,8490,(D),(D),(D),10732
156," ""37155""","Robeson, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0,0
157," ""37155""","Robeson, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0,0
158," ""37157""","Rockingham, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
159," ""37157""","Rockingham, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
160," ""37159""","Rowan, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,9700,9304,11597,13343,11668,13361,15500,14803,11856,11283,10638,9959,10656,10670,11669,11875,12802,13128
161," ""37159""","Rowan, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,9700,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9959,10656,10670,11669,11875,12802,13128
162," ""37161""","Rutherford, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),4467,4494,4843,5086,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
163," ""37161""","Rutherford, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
164," ""37163""","Sampson, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0
165," ""37163""","Sampson, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0
166," ""37165""","Scotland, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),0,0,0,0
167," ""37165""","Scotland, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168," ""37167""","Stanly, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
169," ""37167""","Stanly, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
170," ""37169""","Stokes, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
