,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
29," ""37027""","Caldwell, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1820,1629,1683,1811,1750,1642,1717,1865,1596,1603,2093,2159,2274,1880,1531,1533,1491,1659
30," ""37029""","Camden, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),1079,990,1156,863,(D),(D),(D),340,(D),624,(D),(D),(D),(D),(D),(D),(D)
31," ""37029""","Camden, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D)
32," ""37031""","Carteret, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,49240,48478,53014,56947,58945,61030,64916,66613,65520,65920,67205,71798,75387,79466,83782,88899,94011,96074
33," ""37031""","Carteret, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,13799,11972,12254,12904,13476,13900,14258,15197,13946,13667,13269,12671,13411,14825,15550,15824,15170,14940
34," ""37033""","Caswell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),(D),(D),1463,1707,1887,2000,1834,(D),1904,2029,1894,1773,1998,(D),2436,3337
35," ""37033""","Caswell, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
36," ""37035""","Catawba, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,108940,94652,95996,99417,101386,107030,110262,108093,102007,112357,112208,118379,121809,129074,134553,143834,147504,154818
37," ""37035""","Catawba, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,10543,8933,8551,8360,8727,9243,9389,9416,7876,8324,10028,9697,9304,9835,10187,10339,10516,10905
38," ""37037""","Chatham, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,11497,12329,11426,13066,14278,15924,17358,18185,18615,18721,21186,24789,26923,28628,28937,29306,33128,34165
39," ""37037""","Chatham, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1807,1928,1868,2771,2735,3598,3356,3418,2690,2811,3287,3659,3815,3811,3074,3110,3241,3300
40," ""37039""","Cherokee, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,9742,10041,10650,11752,(D),12338,13073,13281,12912,12338,12378,13311,16612,17984,18816,19960,21038,23298
41," ""37039""","Cherokee, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1287,1322,1182,1551,(D),1250,1403,1452,1175,1137,1173,1147,1186,1407,1569,2020,2202,2753
42," ""37041""","Chowan, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),5201,5905,5902,6142,6768,6666,6241,5893,6100,6965,6622,6554,7027,7316,7106,7716
43," ""37041""","Chowan, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),858,927,960,922,1014,813,693,643,734,727,726,613,761,733,689,693
44," ""37043""","Clay, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,1681,(D),2386,2607,2732,(D),(D),(D),2793,(D),(D),(D),4021,(D),(D),(D),(D),(D)
45," ""37043""","Clay, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,0,0,(D),(D),0,(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D)
46," ""37045""","Cleveland, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,28635,30765,31309,32621,34018,34795,38309,38475,36368,38013,39676,41391,43604,47615,50760,53609,52649,57145
