,County	Sales	Data_Period_Business_Key
188,Cleveland	85605005.0	2018M12
189,Columbus	39265729.0	2018M12
190,Columbus	32702830.0	2020M02
191,Columbus	39265729.0	2018M12
192,Columbus	39265729.0	2018M12
193,Columbus	32702830.0	2020M02
194,Columbus	39265729.0	2018M12
195,Combined General Rate	0.0	2018M12
196,Combined General Rate	0.0	2018M12
197,Combined General Rate	0.0	2020M02
198,Craven	98306132.0	2020M02
199,Craven	98306132.0	2020M02
200,Craven	111433386.0	2018M12
201,Craven	111433386.0	2018M12
202,Craven	111433386.0	2018M12
203,Craven	111433386.0	2018M12
204,Cumberland	324712402.0	2020M02
205,Cumberland	372146084.0	2018M12
206,Cumberland	372146084.0	2018M12
207,Cumberland	372146084.0	2018M12
208,Cumberland	324712402.0	2020M02
209,Cumberland	372146084.0	2018M12
210,Currituck	22872258.0	2018M12
211,Currituck	22872258.0	2018M12
212,Currituck	22872258.0	2018M12
213,Currituck	22872258.0	2018M12
214,Currituck	24918673.0	2020M02
215,Currituck	24918673.0	2020M02
216,Dare	78130224.0	2018M12
217,Dare	69409569.0	2020M02
218,Dare	78130224.0	2018M12
219,Dare	78130224.0	2018M12
220,Dare	78130224.0	2018M12
221,Dare	69409569.0	2020M02
222,Davidson	121049291.0	2020M02
223,Davidson	119593158.0	2018M12
224,Davidson	119593158.0	2018M12
225,Davidson	121049291.0	2020M02
226,Davidson	119593158.0	2018M12
227,Davidson	119593158.0	2018M12
228,Davie	29930737.0	2020M02
229,Davie	32225326.0	2018M12
230,Davie	32225326.0	2018M12
231,Davie	32225326.0	2018M12
232,Davie	29930737.0	2020M02
233,Davie	32225326.0	2018M12
234,Duplin	40018390.0	2018M12
235,Duplin	40018390.0	2018M12
236,Duplin	40018390.0	2018M12
237,Duplin	34315582.0	2020M02
238,Duplin	40018390.0	2018M12
239,Duplin	34315582.0	2020M02
240,Durham	650201098.0	2018M12
241,Durham	650201098.0	2018M12
242,Durham	642130416.0	2020M02
243,Durham	650201098.0	2018M12
244,Durham	650201098.0	2018M12
245,Durham	642130416.0	2020M02
246,Edgecombe	32474458.0	2018M12
247,Edgecombe	32474458.0	2018M12
248,Edgecombe	32474458.0	2018M12
249,Edgecombe	50229750.0	2020M02
250,Edgecombe	32474458.0	2018M12
251,Edgecombe	50229750.0	2020M02
252,Foreign	643784418.0	2020M02
253,Foreign	637597074.0	2018M12
254,Foreign	637597074.0	2018M12
255,Forsyth	487325044.0	2018M12
256,Forsyth	452277902.0	2020M02
257,Forsyth	487325044.0	2018M12
258,Forsyth	452277902.0	2020M02
259,Forsyth	487325044.0	2018M12
260,Forsyth	487325044.0	2018M12
261,Franklin	39953056.0	2020M02
262,Franklin	37504875.0	2018M12
263,Franklin	37504875.0	2018M12
264,Franklin	37504875.0	2018M12
265,Franklin	39953056.0	2020M02
266,Franklin	37504875.0	2018M12
267,Gaston	198241898.0	2018M12
268,Gaston	198241898.0	2018M12
269,Gaston	200805726.0	2020M02
270,Gaston	198241898.0	2018M12
271,Gaston	198241898.0	2018M12
272,Gaston	200805726.0	2020M02
273,Gates	3197450.0	2018M12
274,Gates	3197450.0	2018M12
275,Gates	3424376.0	2020M02
276,Gates	3197450.0	2018M12
277,Gates	3424376.0	2020M02
278,Gates	3197450.0	2018M12
279,Graham	5312650.0	2018M12
280,Graham	5312650.0	2018M12
281,Graham	4860501.0	2020M02
282,Graham	4860501.0	2020M02
283,Graham	5312650.0	2018M12
284,Graham	5312650.0	2018M12
285,Granville	32355318.0	2018M12
286,Granville	32355318.0	2018M12
287,Granville	32355318.0	2018M12
288,Granville	30571518.0	2020M02
289,Granville	32355318.0	2018M12
290,Granville	30571518.0	2020M02
291,Greene	6187328.0	2018M12
292,Greene	6187328.0	2018M12
293,Greene	6187328.0	2018M12
294,Greene	6744953.0	2020M02
295,Greene	6744953.0	2020M02
296,Greene	6187328.0	2018M12
297,Guilford	665877325.0	2018M12
298,Guilford	665877325.0	2018M12
299,Guilford	665877325.0	2018M12
300,Guilford	665877325.0	2018M12
301,Guilford	601311184.0	2020M02
302,Guilford	601311184.0	2020M02
303,Halifax	56438979.0	2018M12
304,Halifax	56438979.0	2018M12
305,Halifax	56438979.0	2018M12
306,Halifax	39123381.0	2020M02
307,Halifax	56438979.0	2018M12
308,Halifax	39123381.0	2020M02
309,Harnett	81256068.0	2018M12
310,Harnett	81256068.0	2018M12
311,Harnett	81256068.0	2018M12
312,Harnett	81256068.0	2018M12
313,Harnett	83764674.0	2020M02
314,Harnett	83764674.0	2020M02
315,Haywood	61877664.0	2020M02
316,Haywood	65517695.0	2018M12
317,Haywood	65517695.0	2018M12
318,Haywood	61877664.0	2020M02
319,Haywood	65517695.0	2018M12
320,Haywood	65517695.0	2018M12
321,Henderson	103485315.0	2020M02
322,Henderson	97003436.0	2018M12
323,Henderson	97003436.0	2018M12
324,Henderson	97003436.0	2018M12
325,Henderson	97003436.0	2018M12
326,Henderson	103485315.0	2020M02
327,Hertford	17687309.0	2018M12
328,Hertford	17687309.0	2018M12
329,Hertford	19804338.0	2020M02
330,Hertford	17687309.0	2018M12
331,Hertford	17687309.0	2018M12
332,Hertford	19804338.0	2020M02
333,Hoke	18842651.0	2018M12
334,Hoke	18842651.0	2018M12
335,Hoke	18842651.0	2018M12
336,Hoke	18545455.0	2020M02
337,Hoke	18842651.0	2018M12
338,Hoke	18545455.0	2020M02
339,Hyde	3071988.0	2018M12
340,Hyde	2922934.0	2020M02
341,Hyde	2922934.0	2020M02
342,Hyde	3071988.0	2018M12
343,Hyde	3071988.0	2018M12
344,Hyde	3071988.0	2018M12
345,Iredell	208639228.0	2018M12
346,Iredell	208639228.0	2018M12
347,Iredell	208639228.0	2018M12
348,Iredell	208639228.0	2018M12
349,Iredell	209738901.0	2020M02
350,Iredell	209738901.0	2020M02
351,Jackson	47284624.0	2018M12
352,Jackson	44265956.0	2020M02
353,Jackson	47284624.0	2018M12
354,Jackson	47284624.0	2018M12
355,Jackson	47284624.0	2018M12
356,Jackson	44265956.0	2020M02
357,Johnston	155974183.0	2020M02
358,Johnston	155974183.0	2020M02
359,Johnston	183205713.0	2018M12
360,Johnston	183205713.0	2018M12
361,Johnston	183205713.0	2018M12
362,Johnston	183205713.0	2018M12
363,Jones	4135093.0	2020M02
364,Jones	5104671.0	2018M12
365,Jones	5104671.0	2018M12
366,Jones	4135093.0	2020M02
367,Jones	5104671.0	2018M12
368,Jones	5104671.0	2018M12
369,Lee	73183959.0	2018M12
370,Lee	65110227.0	2020M02
371,Lee	73183959.0	2018M12
372,Lee	73183959.0	2018M12
373,Lee	73183959.0	2018M12
374,Lee	65110227.0	2020M02
375,Lenoir	47361552.0	2020M02
376,Lenoir	51704714.0	2018M12
377,Lenoir	51704714.0	2018M12
378,Lenoir	51704714.0	2018M12
379,Lenoir	47361552.0	2020M02
380,Lenoir	51704714.0	2018M12
381,Lincoln	74410678.0	2020M02
382,Lincoln	79757906.0	2018M12
383,Lincoln	74410678.0	2020M02
384,Lincoln	79757906.0	2018M12
385,Lincoln	79757906.0	2018M12
386,Lincoln	79757906.0	2018M12
387,Macon	38407412.0	2020M02
388,Macon	45185429.0	2018M12
389,Macon	45185429.0	2018M12
390,Madison	9450883.0	2020M02
391,Madison	9436102.0	2018M12
392,Madison	9436102.0	2018M12
393,Martin	18798294.0	2018M12
394,Martin	15682199.0	2020M02
395,Martin	18798294.0	2018M12
396,McDowell	30896436.0	2020M02
397,McDowell	30972379.0	2018M12
398,McDowell	30972379.0	2018M12
399,Mecklenburg	1963310886.0	2018M12
400,Mecklenburg	1963310886.0	2018M12
401,Mecklenburg	1933429775.0	2020M02
402,Mitchell	12524365.0	2020M02
403,Mitchell	13172266.0	2018M12
404,Mitchell	13172266.0	2018M12
405,Montgomery	18426668.0	2018M12
406,Montgomery	18426668.0	2018M12
407,Montgomery	17046004.0	2020M02
408,Moore	112663716.0	2018M12
409,Moore	112663716.0	2018M12
410,Moore	112092514.0	2020M02
