,County	Collections	Data_Period_Business_Key
191,Columbus	1881876.0	2018M12
192,Columbus	1881876.0	2018M12
193,Columbus	1558497.0	2020M02
194,Columbus	1881876.0	2018M12
195,Combined General Rate	108167113.0	2018M12
196,Combined General Rate	108167113.0	2018M12
197,Combined General Rate	117463764.0	2020M02
198,Craven	4684299.0	2020M02
199,Craven	4684299.0	2020M02
200,Craven	5305471.0	2018M12
201,Craven	5305471.0	2018M12
202,Craven	5305471.0	2018M12
203,Craven	5305471.0	2018M12
204,Cumberland	15464729.0	2020M02
205,Cumberland	17710266.0	2018M12
206,Cumberland	17710266.0	2018M12
207,Cumberland	17710266.0	2018M12
208,Cumberland	15464729.0	2020M02
209,Cumberland	17710266.0	2018M12
210,Currituck	1087210.0	2018M12
211,Currituck	1087210.0	2018M12
212,Currituck	1087210.0	2018M12
213,Currituck	1087210.0	2018M12
214,Currituck	1189407.0	2020M02
215,Currituck	1189407.0	2020M02
216,Dare	3719123.0	2018M12
217,Dare	3323370.0	2020M02
218,Dare	3719123.0	2018M12
219,Dare	3719123.0	2018M12
220,Dare	3719123.0	2018M12
221,Dare	3323370.0	2020M02
222,Davidson	5765032.0	2020M02
223,Davidson	5701357.0	2018M12
224,Davidson	5701357.0	2018M12
225,Davidson	5765032.0	2020M02
226,Davidson	5701357.0	2018M12
227,Davidson	5701357.0	2018M12
228,Davie	1426102.0	2020M02
229,Davie	1537943.0	2018M12
230,Davie	1537943.0	2018M12
231,Davie	1537943.0	2018M12
232,Davie	1426102.0	2020M02
233,Davie	1537943.0	2018M12
234,Duplin	1905668.0	2018M12
235,Duplin	1905668.0	2018M12
236,Duplin	1905668.0	2018M12
237,Duplin	1636457.0	2020M02
238,Duplin	1905668.0	2018M12
239,Duplin	1636457.0	2020M02
240,Durham	30951470.0	2018M12
241,Durham	30951470.0	2018M12
242,Durham	30573519.0	2020M02
243,Durham	30951470.0	2018M12
244,Durham	30951470.0	2018M12
245,Durham	30573519.0	2020M02
246,Edgecombe	1548579.0	2018M12
247,Edgecombe	1548579.0	2018M12
248,Edgecombe	1548579.0	2018M12
249,Edgecombe	2396950.0	2020M02
250,Edgecombe	1548579.0	2018M12
251,Edgecombe	2396950.0	2020M02
252,Foreign	30551789.0	2020M02
253,Foreign	30273400.0	2018M12
254,Foreign	30273400.0	2018M12
255,Forsyth	23220626.0	2018M12
256,Forsyth	21561822.0	2020M02
257,Forsyth	23220626.0	2018M12
258,Forsyth	21561822.0	2020M02
259,Forsyth	23220626.0	2018M12
260,Forsyth	23220626.0	2018M12
261,Franklin	1910100.0	2020M02
