RegionName	State	Metro	StateCodeFIPS	MunicipalCodeFIPS	SizeRank	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01
Rowan County	NC	Charlotte-Concord-Gastonia	37	159	410																																																					92600.0	96300.0	96300.0	100700.0	97600.0	95900.0	92600.0	98600.0	91900.0	92700.0	84800.0	86700.0	93300.0	92100.0	95200.0	88100.0	92600.0	96200.0	102900.0	96900.0	95600.0	97800.0	99900.0	101000.0	93000.0	101800.0	103000.0	109600.0	100200.0	99800.0	100500.0	108000.0	107900.0	115800.0	113900.0	110700.0	102700.0	106400.0	110400.0	113400.0	112800.0	112100.0	111900.0	118800.0	118800.0	118800.0	114500.0	121600.0	121700.0	121100.0	115800.0	112800.0	114200.0	111900.0	115400.0	115200.0	118800.0	119100.0	118300.0	117800.0	122500.0	120500.0	119500.0	120700.0	118400.0	122900.0	119800	123400	126800	128300	131600	132800	131400	134300	133400	137300	129100	129700	131500	145200	147900.0	150900.0	142500.0	140500.0	135700.0	143500.0	145900.0	147700.0	142600.0	144100.0	151700.0
Rutherford County	NC	Forest City	37	161	679																																																																																					109800.0	109900.0	116300.0	121300.0	118000.0	140300.0	132400.0	131600.0	123700.0	115200.0	121700.0	117600.0	123500.0	120800.0	121200.0	109800.0	107000.0	103400.0	111400.0	117300.0	122800.0	121900.0	125700.0	133700.0	142500.0	137600.0	130500.0	127200.0	136100.0	136400.0	134800.0	124400.0	120100.0	133300.0	121400	146600	134800	163300	128300	131400	117100	131700	133200	134200	127700	123600	123300	136000	135400.0	140100.0	133500.0	136200.0	142200.0	150800.0	154300.0	142400.0	137500.0	137600.0	149400.0
Sampson County	NC		37	163	712																																																																																																									108000.0	98000.0	98700.0	86900.0	90600.0	85900.0	93700.0	90600.0	94700.0	90200.0	87100.0	98700.0	101700.0	114800.0	100400	108100	115700	127800	118400	106400	103000	109200	108500	104100	108600	114800	105800	97300	94400.0	105800.0	109600.0	111800.0	121800.0	124000.0	120500.0	111600.0	132900.0		
Stanly County	NC	Albermarle	37	167	733																									111500.0	116300.0	113300.0	116200.0	92600.0	80100.0	72500.0	81100.0	89800.0	85400.0	95600.0	80300.0	95000.0	89700.0	98900.0	90300.0	100100.0	107300.0	100200.0	87700.0	90400.0	97400.0	110300.0	99800.0	110600.0	107400.0	105600.0	88600.0	96800.0	109100.0	117400.0	95400.0	90500.0	86400.0	104300.0	104400.0	111300.0	108900.0	110300.0	112700.0	111300.0	111000.0	111700.0	110100.0	110100.0	109900.0	106000.0	105200.0	99000.0	104100.0	103700.0	119800.0	116200.0	117900.0	104400.0	111100.0	117200.0	104800.0	111300.0	98800.0	115800.0	115300.0	127000.0	125200.0	124300.0	119000.0	117400.0	116300.0	113700.0	117100.0	128000.0	134300.0	137300.0	121800.0	113900.0	111900.0	118500.0	129000.0	130700.0	130300.0	124300.0	122000.0	117400.0	125900.0	115000.0	120000.0	118800.0	131700.0	130700.0	129500.0	139100.0	138400.0	144600.0	135700.0	140700	137400	143600	138600	140800	141900	145900	151800	148200	148500	144700	148900	163900	166300	167500.0	158900.0	163900.0	167100.0	168400.0	164300.0	155500.0	158300.0	163500.0	188700.0	
Stokes County	NC	Winston-Salem	37	169	840																																																																																										109400.0	112000.0	110600.0	112800.0	115300.0	122400.0	127800.0	121000.0	115800.0	120200.0	121900.0	123700.0	115200.0	117600.0	114900.0	115500.0	118500.0	119100.0	120200.0	116900.0	120300.0	121300.0	122900.0	118700.0	119000.0	124800.0	132300.0	133800.0	129800.0	128100	135800	143700	144300	135200	141500	141600	146500	133500	128800	131300	131400	145000	142400	152200.0	144800.0	148800.0	151500.0	153200.0	150900.0	149700.0	149400.0	145200.0	142600.0	139100.0
Surry County	NC	Mount Airy	37	171	654	91800.0	94000.0	93000.0	95900.0	101800.0	101100.0	95100.0	98800.0	96200.0	93900.0	78000.0	89100.0	94600.0	104900.0	93000.0	95100.0	90200.0	92800.0	97600.0	107500.0	108300.0	97700.0	91200.0	87000.0	88300.0	83600.0	78600.0	85500.0	80700.0	91000.0	81500.0	99000.0	107500.0	102800.0	93800.0	73400.0	81700.0	83700.0	96400.0	99300.0	92600.0	79300.0	79700.0	84700.0	93100.0	88100.0	81200.0	83800.0	79200.0	78500.0	74600.0	81700.0	86000.0	80900.0	81600.0	88500.0	99700.0	95500.0	93700.0	96500.0	99900.0	100200.0	89100.0	88500.0	84800.0	92000.0	93000.0	94600.0	96500.0	93900.0	91700.0	84500.0	88700.0	96300.0	108600.0	110000.0	103200.0	89700.0	93300.0	90700.0	96900.0	89200.0	92000.0	88600.0	93000.0	94200.0	101000.0	98000.0	102700.0	102700.0	102800.0	101700.0	99300.0	105500.0	109100.0	103800.0	103400.0	94600.0	100900.0	102200.0	107100.0	109900.0	103500.0	101200.0	95900.0	105800.0	107400.0	118400.0	107600.0	109600.0	93800.0	101700.0	100400.0	110100.0	112400.0	120400.0	117200.0	117000.0	111300	118700	125500	126100	123500	116200	117800	112500	114000	112700	117600	114300	116600	125600	131300.0	126300.0	128600.0	131400.0	140500.0	130500.0	125800.0	126000.0	127300.0	122000.0	123000.0
Swain County	NC		37	173	1249																																																																																										141000.0	124800.0	113200.0	111600.0	119100.0	120600.0	121000.0	131900.0	157100.0	163000.0	166100.0	148600.0	154300.0	159600.0	141900.0	156300.0	132700.0	155800.0	134100.0	139900.0	139100.0	138000.0	144800.0	140300.0	142400.0	141600.0	137900.0	166500.0	158800.0	176900	148800	168100	156800	155900	142600	143000	148700	159700	172300	177600	194500	206200	210500	206800.0	181400.0	187500.0	173300.0	192900.0	177900.0	183400.0	156400.0	176300.0	181800.0	
Transylvania County	NC	Brevard	37	175	1025	175800.0	161600.0	169400.0	171100.0	200400.0	204300.0	207400.0	212200.0	207100.0	195600.0	191000.0	239300.0	240700.0	221200.0	177700.0	192900.0	215800.0	210100.0	207800.0	192900.0	192700.0	186100.0	195100.0	195900.0	180800.0	163600.0	154500.0	161700.0	179400.0	185600.0	178900.0	183900.0	198500.0	204600.0	186000.0	180400.0	196400.0	223100.0	201800.0	186300.0	166100.0	156600.0	157100.0	146600.0	165300.0	163900.0	188100.0	198100.0	180000.0	155900.0	147100.0	178200.0	192200.0	197300.0	185000.0	167900.0	152700.0	145800.0	150600.0	155000.0	156100.0	160100.0	167000.0	178500.0	201200.0	202600.0	193000.0	176600.0	178700.0	180000.0	179500.0	172900.0	170900.0	172300.0	176600.0	181700.0	186500.0	185900.0	190200.0	194800.0	197000.0	199100.0	192000.0	206100.0	208200.0	213700.0	199700.0	198600.0	189900.0	197600.0	187400.0	193700.0	201200.0	208600.0	214200.0	213100.0	218100.0	217400.0	203200.0	208300.0	213300.0	225100.0	224100.0	216600.0	215500.0	214500.0	221400.0	215200.0	224100.0	223000.0	244300.0	231700.0	256600.0	238600.0	248900.0	222000.0	231300.0	239900.0	244500	248800	237400	231900	229800	229000	232200	236200	238800	243000	230500	230000	249100	256600	264800.0	249700.0	246000.0	253100.0	260200.0	282400.0	287200.0	295600.0	291700.0	281800.0	285400.0
Union County	NC	Charlotte-Concord-Gastonia	37	179	286	181600.0	172100.0	163500.0	155500.0	164100.0	171800.0	174200.0	170700.0	164400.0	170100.0	166700.0	168600.0	165200.0	166100.0	167100.0	164600.0	165900.0	167900.0	175200.0	178400.0	179500.0	178100.0	196700.0	192700.0	183400.0	158700.0	167600.0	173500.0	188000.0	180500.0	181500.0	174800.0	172600.0	175300.0	178800.0	181600.0	172000.0	156200.0	156200.0	168700.0	171700.0	164000.0	153500.0	151000.0	156800.0	165500.0	170300.0	170400.0	162100.0	157700.0	155900.0	152700.0	163000.0	161500.0	161400.0	154800.0	158600.0	169300.0	171600.0	169300.0	164900.0	163900.0	169100.0	170700.0	173400.0	177600.0	176400.0	178200.0	176100.0	193700.0	193900.0	196400.0	177200.0	179500.0	180100.0	186700.0	192600.0	191400.0	192600.0	189500.0	183400.0	183600.0	186100.0	211200.0	213200.0	215800.0	203600.0	202000.0	197900.0	193500.0	193500.0	200000.0	201200.0	206300.0	201200.0	208800.0	205500.0	213000.0	208500.0	214500.0	211200.0	210900.0	216800.0	222100.0	226800.0	219100.0	218700.0	214400.0	218400.0	215100.0	216000.0	217100.0	223800.0	230400.0	233000.0	228900.0	228700.0	234200.0	248200	252400	253600	248200	246100	243800	244700	250600	249600	248700	252900	255000	258500	259600	266900.0	266200.0	261000.0	252500.0	258100.0	256400.0	266000.0	264500.0	267100.0	273100.0	283700.0
Wake County	NC	Raleigh	37	183	52	186500.0	182500.0	180600.0	180400.0	182500.0	182100.0	179900.0	181600.0	177600.0	177700.0	177400.0	181700.0	183500.0	178500.0	172300.0	167300.0	169400.0	172800.0	174600.0	176600.0	180000.0	183600.0	188000.0	183700.0	183500.0	180900.0	178900.0	181200.0	179200.0	180400.0	177100.0	179900.0	186600.0	189200.0	187500.0	185100.0	182000.0	179600.0	175800.0	175700.0	172600.0	172100.0	166100.0	169400.0	171800.0	181000.0	179700.0	178800.0	175700.0	180400.0	178900.0	179100.0	175700.0	177900.0	176600.0	179200.0	183300.0	188200.0	188600.0	185100.0	182700.0	184400.0	185700.0	186200.0	186300.0	189600.0	193400.0	197600.0	196700.0	201200.0	196600.0	196000.0	190400.0	191300.0	193500.0	195100.0	196300.0	196100.0	196900.0	201200.0	203000.0	205500.0	206400.0	209600.0	214500.0	216400.0	220800.0	224700.0	228900.0	228600.0	226000.0	227100.0	228700.0	232200.0	234600.0	235000.0	230800.0	229600.0	229100.0	235400.0	236600.0	238800.0	238600.0	237000.0	237800.0	238700.0	243300.0	245600.0	246900.0	250900.0	251500.0	252100.0	250800.0	252400.0	252600.0	254700.0	255300.0	258300.0	260600	268700	270800	271600	265600	266900	267400	268900	270900	269700	271100	269800	271800	276000	277500.0	277500.0	272300.0	271200.0	273300.0	278500.0	280800.0	282700.0	284000.0	288200.0	292400.0
Watauga County	NC	Boone	37	189	810																																																																												203300.0	199100.0	200400.0	212200.0	210400.0	211000.0	214900.0	215200.0	227600.0	229800.0	224300.0	222600.0	227400.0	233800.0	231400.0	222100.0	224200.0	213800.0	212900.0	210500.0	216300.0	220000.0	223500.0	225400.0	225600.0	225900.0	220800.0	233500.0	243500.0	246900.0	238500.0	251800.0	257100.0	257900.0	231900.0	226400.0	232200.0	239500.0	238900.0	232500.0	236300.0	248100.0	248400.0	242800	229600	227800	233300	247100	246200	254800	255200	261500	250100	252000	258000	260500	267000	267500.0	273000.0	270400.0	271800.0	280300.0	273800.0	277900.0	277300.0	277000.0	273500.0	277400.0
Wilkes County	NC	North Wilkesboro	37	193	673																																																																									101900.0	99800.0	103900.0	118500.0	117500.0	118600.0	122700.0	121600.0	125600.0	112900.0	107100.0	93400.0	97000.0	100800.0	120300.0	124100.0	131000.0	127400.0	129000.0	124000.0	125000.0	124400.0	128200.0	126800.0	110600.0	115900.0	110300.0	124500.0	120100.0	127700.0	123500.0	121500.0	117500.0	121200.0	135500.0	138100.0	140800.0	116600.0	116900.0	130900.0	140200.0	135800.0	119300.0	114200.0	114700.0	116900.0	114600	118600	114600	124000	127900	133100	134500	131100	136600	145800	157000	156600	153900	140800	139500.0	131400.0	138100.0	143700.0	143900.0	138800.0	132700.0	131900.0	131300.0	145000.0	
Wilson County	NC	Wilson	37	195	608																																																																												109400.0	104900.0	121000.0	111800.0	109900.0	102800.0	105400.0	103300.0	96000.0	99100.0	102700.0	115200.0	115400.0	115900.0	117400.0	109100.0	113700.0	115800.0	127900.0	129500.0	123300.0	114300.0	103500.0	104600.0	108300.0	110700.0	109500.0	108500.0	104100.0	101800.0	102000.0	104300.0	112900.0	117600.0	118800.0	114600.0	116700.0	120200.0	120900.0	126500.0	128900.0	130000.0	121800.0	128300	142800	145800	133600	112900	107300	110600	112600	114500	116000	120100	122800	124800	133900	138600.0	134900.0	121500.0	116200.0	119100.0	122800.0	123100.0	119100.0	124900.0	124300.0	129300.0
Yadkin County	NC	Winston-Salem	37	197	952																																																																																															91200.0	92100.0	94000.0	101600.0	105100.0	98500.0	96800.0	93000.0	105400.0	107900.0	120900.0	106900.0	112800.0	97200.0	103000.0	95300.0	105000.0	99900.0	103400.0	95500.0	105900.0	109700.0	119900.0	116100.0	113200	112500	110400	102700	96600	105300	111000	113000	102500	100600	92100	97800	106600	117600	116300.0	111700.0	112300.0	125600.0	134800.0	136500.0	151700.0	144900.0	144200.0	128500.0	
