Region Code	Region Name	Measure Name	Date	Estimated Value
22005	Ascension Parish, LA	Homeownership Rate	2009-01-01	83.00769505172502
37009	Ashe County, NC	Homeownership Rate	2009-01-01	79.46414246751164
39005	Ashland County, OH	Homeownership Rate	2009-01-01	82.03331596116354
55003	Ashland County, WI	Homeownership Rate	2009-01-01	75.42589983348277
05003	Ashley County, AR	Homeownership Rate	2009-01-01	71.06561534559874
39007	Ashtabula County, OH	Homeownership Rate	2009-01-01	73.99667343544321
53003	Asotin County, WA	Homeownership Rate	2009-01-01	71.55785084810007
22007	Assumption Parish, LA	Homeownership Rate	2009-01-01	79.95346182552575
48013	Atascosa County, TX	Homeownership Rate	2009-01-01	76.69720078117734
29005	Atchison County, MO	Homeownership Rate	2009-01-01	73.33668510139098
20005	Atchison County, KS	Homeownership Rate	2009-01-01	73.66005990695304
39009	Athens County, OH	Homeownership Rate	2009-01-01	59.163051032099325
13003	Atkinson County, GA	Homeownership Rate	2009-01-01	64.16789758739537
34001	Atlantic County, NJ	Homeownership Rate	2009-01-01	72.54178669851902
40005	Atoka County, OK	Homeownership Rate	2009-01-01	76.97597217831172
28007	Attala County, MS	Homeownership Rate	2009-01-01	74.17149958574979
29007	Audrain County, MO	Homeownership Rate	2009-01-01	77.60467380720544
19009	Audubon County, IA	Homeownership Rate	2009-01-01	82.7170821482349
39011	Auglaize County, OH	Homeownership Rate	2009-01-01	80.8805882224598
51015	Augusta County, VA	Homeownership Rate	2009-01-01	80.80166579906299
46003	Aurora County, SD	Homeownership Rate	2009-01-01	79.03692976104271
48015	Austin County, TX	Homeownership Rate	2009-01-01	80.18062273276905
01001	Autauga County, AL	Homeownership Rate	2009-01-01	78.65037108744757
37011	Avery County, NC	Homeownership Rate	2009-01-01	70.41964563257693
22009	Avoyelles Parish, LA	Homeownership Rate	2009-01-01	67.05011070674166
08009	Baca County, CO	Homeownership Rate	2009-01-01	75.86206896551724
13005	Bacon County, GA	Homeownership Rate	2009-01-01	73.1576330183988
48017	Bailey County, TX	Homeownership Rate	2009-01-01	77.81102362204724
12003	Baker County, FL	Homeownership Rate	2009-01-01	77.9042874933286
13007	Baker County, GA	Homeownership Rate	2009-01-01	64.38320209973753
41001	Baker County, OR	Homeownership Rate	2009-01-01	68.59654631083203
01003	Baldwin County, AL	Homeownership Rate	2009-01-01	77.77542808470643
13009	Baldwin County, GA	Homeownership Rate	2009-01-01	63.56098063452822
21007	Ballard County, KY	Homeownership Rate	2009-01-01	86.87202053538687
24005	Baltimore County, MD	Homeownership Rate	2009-01-01	71.39504913559442
24510	Baltimore City, MD	Homeownership Rate	2009-01-01	54.49929683332525
45009	Bamberg County, SC	Homeownership Rate	2009-01-01	70.19702574167736
48019	Bandera County, TX	Homeownership Rate	2009-01-01	81.62611394813257
13011	Banks County, GA	Homeownership Rate	2009-01-01	78.05101293629485
31007	Banner County, NE	Homeownership Rate	2009-01-01	60.922330097087375
16005	Bannock County, ID	Homeownership Rate	2009-01-01	72.82292024477437
26013	Baraga County, MI	Homeownership Rate	2009-01-01	79.33905802758262
20007	Barber County, KS	Homeownership Rate	2009-01-01	73.75218914185639
54001	Barbour County, WV	Homeownership Rate	2009-01-01	76.42570545287114
01005	Barbour County, AL	Homeownership Rate	2009-01-01	63.83938557900232
38003	Barnes County, ND	Homeownership Rate	2009-01-01	74.03482210446631
25001	Barnstable County, MA	Homeownership Rate	2009-01-01	83.28767500447405
45011	Barnwell County, SC	Homeownership Rate	2009-01-01	73.30876546459595
21009	Barren County, KY	Homeownership Rate	2009-01-01	70.85026261024674
55005	Barron County, WI	Homeownership Rate	2009-01-01	77.31417333392929
13013	Barrow County, GA	Homeownership Rate	2009-01-01	74.80685457553543
29009	Barry County, MO	Homeownership Rate	2009-01-01	75.78657060843136
26015	Barry County, MI	Homeownership Rate	2009-01-01	86.60534489231715
18005	Bartholomew County, IN	Homeownership Rate	2009-01-01	77.67012750207513
29011	Barton County, MO	Homeownership Rate	2009-01-01	73.2777115613826
20009	Barton County, KS	Homeownership Rate	2009-01-01	74.16580540380923
13015	Bartow County, GA	Homeownership Rate	2009-01-01	73.43412055141677
48021	Bastrop County, TX	Homeownership Rate	2009-01-01	79.90861693594591
29013	Bates County, MO	Homeownership Rate	2009-01-01	77.21526607271852
51017	Bath County, VA	Homeownership Rate	2009-01-01	81.63530175210903
21011	Bath County, KY	Homeownership Rate	2009-01-01	83.12236286919831
05005	Baxter County, AR	Homeownership Rate	2009-01-01	76.77305399504452
26017	Bay County, MI	Homeownership Rate	2009-01-01	83.50162025078664
12005	Bay County, FL	Homeownership Rate	2009-01-01	64.95179479434124
55007	Bayfield County, WI	Homeownership Rate	2009-01-01	81.54679255762288
48023	Baylor County, TX	Homeownership Rate	2009-01-01	74.59645408838317
46005	Beadle County, SD	Homeownership Rate	2009-01-01	70.21192835115806
16007	Bear Lake County, ID	Homeownership Rate	2009-01-01	80.91824543437447
37013	Beaufort County, NC	Homeownership Rate	2009-01-01	75.05398616191441
45013	Beaufort County, SC	Homeownership Rate	2009-01-01	68.57573366880601
22011	Beauregard Parish, LA	Homeownership Rate	2009-01-01	79.58187947247029
49001	Beaver County, UT	Homeownership Rate	2009-01-01	78.29837618403248
40007	Beaver County, OK	Homeownership Rate	2009-01-01	70.69032009255687
42007	Beaver County, PA	Homeownership Rate	2009-01-01	78.95173525507302
30001	Beaverhead County, MT	Homeownership Rate	2009-01-01	67.84930082052468
27005	Becker County, MN	Homeownership Rate	2009-01-01	82.2033084823857
40009	Beckham County, OK	Homeownership Rate	2009-01-01	66.03169765315454
42009	Bedford County, PA	Homeownership Rate	2009-01-01	82.01583843977119
51019	Bedford County, VA	Homeownership Rate	2009-01-01	85.20027361860608
51515	Bedford City, VA	Homeownership Rate	2009-01-01	64.00255754475704
47003	Bedford County, TN	Homeownership Rate	2009-01-01	66.23455634593786
48025	Bee County, TX	Homeownership Rate	2009-01-01	64.20021299254526
33001	Belknap County, NH	Homeownership Rate	2009-01-01	81.30033359167031
48027	Bell County, TX	Homeownership Rate	2009-01-01	59.46002826132708
21013	Bell County, KY	Homeownership Rate	2009-01-01	67.41843818567678
39013	Belmont County, OH	Homeownership Rate	2009-01-01	77.14745460568868
27007	Beltrami County, MN	Homeownership Rate	2009-01-01	74.35779594601132
13017	Ben Hill County, GA	Homeownership Rate	2009-01-01	62.52434059125509
16009	Benewah County, ID	Homeownership Rate	2009-01-01	74.44238929387444
46007	Bennett County, SD	Homeownership Rate	2009-01-01	52.22150676110754
50003	Bennington County, VT	Homeownership Rate	2009-01-01	74.80167724388032
38005	Benson County, ND	Homeownership Rate	2009-01-01	57.221657715198134
08011	Bent County, CO	Homeownership Rate	2009-01-01	67.0217803030303
47005	Benton County, TN	Homeownership Rate	2009-01-01	83.7177409300586
29015	Benton County, MO	Homeownership Rate	2009-01-01	84.96194655852453
19011	Benton County, IA	Homeownership Rate	2009-01-01	85.02194309927361
28009	Benton County, MS	Homeownership Rate	2009-01-01	74.81825018801705
18007	Benton County, IN	Homeownership Rate	2009-01-01	77.908976269632
05007	Benton County, AR	Homeownership Rate	2009-01-01	71.73981183664219
41003	Benton County, OR	Homeownership Rate	2009-01-01	61.0111600937289
27009	Benton County, MN	Homeownership Rate	2009-01-01	75.71028618830361
53005	Benton County, WA	Homeownership Rate	2009-01-01	73.95977439608386
26019	Benzie County, MI	Homeownership Rate	2009-01-01	86.82659436520099
34003	Bergen County, NJ	Homeownership Rate	2009-01-01	72.87792024091988
45015	Berkeley County, SC	Homeownership Rate	2009-01-01	70.97902755572275
54003	Berkeley County, WV	Homeownership Rate	2009-01-01	76.91810344827587
42011	Berks County, PA	Homeownership Rate	2009-01-01	76.88779238818888
25003	Berkshire County, MA	Homeownership Rate	2009-01-01	74.55290851572084
35001	Bernalillo County, NM	Homeownership Rate	2009-01-01	67.71325341098333
26021	Berrien County, MI	Homeownership Rate	2009-01-01	74.40955482613602
13019	Berrien County, GA	Homeownership Rate	2009-01-01	69.25701288855194
37015	Bertie County, NC	Homeownership Rate	2009-01-01	74.37473279179136
02050	Bethel CA, AK	Homeownership Rate	2009-01-01	70.08647567503971
48029	Bexar County, TX	Homeownership Rate	2009-01-01	66.63265643036243
13021	Bibb County, GA	Homeownership Rate	2009-01-01	59.62881405011549
01007	Bibb County, AL	Homeownership Rate	2009-01-01	80.08649594246562
22013	Bienville Parish, LA	Homeownership Rate	2009-01-01	72.03531210899486
30003	Big Horn County, MT	Homeownership Rate	2009-01-01	67.0075519194462
56003	Big Horn County, WY	Homeownership Rate	2009-01-01	74.58661243257583
27011	Big Stone County, MN	Homeownership Rate	2009-01-01	82.6651393661703
38007	Billings County, ND	Homeownership Rate	2009-01-01	88.0482456140351
16011	Bingham County, ID	Homeownership Rate	2009-01-01	79.93356870760941
19013	Black Hawk County, IA	Homeownership Rate	2009-01-01	71.20628346547642
18009	Blackford County, IN	Homeownership Rate	2009-01-01	80.6067500948047
37017	Bladen County, NC	Homeownership Rate	2009-01-01	67.71485123228196
40011	Blaine County, OK	Homeownership Rate	2009-01-01	76.07244123296442
31009	Blaine County, NE	Homeownership Rate	2009-01-01	51.59235668789809
30005	Blaine County, MT	Homeownership Rate	2009-01-01	54.923825977697504
16013	Blaine County, ID	Homeownership Rate	2009-01-01	66.3013698630137
42013	Blair County, PA	Homeownership Rate	2009-01-01	76.8628350481683
48031	Blanco County, TX	Homeownership Rate	2009-01-01	81.24237382140876
51021	Bland County, VA	Homeownership Rate	2009-01-01	85.03022589882278
13023	Bleckley County, GA	Homeownership Rate	2009-01-01	74.14474237202656
47007	Bledsoe County, TN	Homeownership Rate	2009-01-01	81.03262818214414
47009	Blount County, TN	Homeownership Rate	2009-01-01	77.95855717574828
01009	Blount County, AL	Homeownership Rate	2009-01-01	82.577493560707
27013	Blue Earth County, MN	Homeownership Rate	2009-01-01	69.85096419223305
16015	Boise County, ID	Homeownership Rate	2009-01-01	82.88054607508532
28011	Bolivar County, MS	Homeownership Rate	2009-01-01	54.79315500913773
29017	Bollinger County, MO	Homeownership Rate	2009-01-01	79.76239926892083
46009	Bon Homme County, SD	Homeownership Rate	2009-01-01	82.62910798122066
17005	Bond County, IL	Homeownership Rate	2009-01-01	81.72513788593848
16017	Bonner County, ID	Homeownership Rate	2009-01-01	78.17904247065596
16019	Bonneville County, ID	Homeownership Rate	2009-01-01	75.87205945645213
31011	Boone County, NE	Homeownership Rate	2009-01-01	76.53860499813503
05009	Boone County, AR	Homeownership Rate	2009-01-01	74.60210715086303
21015	Boone County, KY	Homeownership Rate	2009-01-01	79.48952094468169
29019	Boone County, MO	Homeownership Rate	2009-01-01	61.83931829461808
54005	Boone County, WV	Homeownership Rate	2009-01-01	79.92399999999999
18011	Boone County, IN	Homeownership Rate	2009-01-01	83.9121794265165
17007	Boone County, IL	Homeownership Rate	2009-01-01	82.29864322861694
19015	Boone County, IA	Homeownership Rate	2009-01-01	76.76233043205521
48033	Borden County, TX	Homeownership Rate	2009-01-01	62.05128205128205
48035	Bosque County, TX	Homeownership Rate	2009-01-01	73.58433552909894
22015	Bossier Parish, LA	Homeownership Rate	2009-01-01	68.46605435091374
51023	Botetourt County, VA	Homeownership Rate	2009-01-01	88.05529374803645
38009	Bottineau County, ND	Homeownership Rate	2009-01-01	84.14759139050221
08013	Boulder County, CO	Homeownership Rate	2009-01-01	67.7738731534868
16021	Boundary County, ID	Homeownership Rate	2009-01-01	83.18114051434961
21017	Bourbon County, KY	Homeownership Rate	2009-01-01	62.57789779808891
20011	Bourbon County, KS	Homeownership Rate	2009-01-01	76.06667581286871
48037	Bowie County, TX	Homeownership Rate	2009-01-01	67.33274718247941
38011	Bowman County, ND	Homeownership Rate	2009-01-01	79.69525159461375
31013	Box Butte County, NE	Homeownership Rate	2009-01-01	69.63663057441732
49003	Box Elder County, UT	Homeownership Rate	2009-01-01	81.86800397807825
31015	Boyd County, NE	Homeownership Rate	2009-01-01	71.32701421800948
21019	Boyd County, KY	Homeownership Rate	2009-01-01	72.85859481435027
21021	Boyle County, KY	Homeownership Rate	2009-01-01	69.84054496327586
21023	Bracken County, KY	Homeownership Rate	2009-01-01	76.39823624970991
42015	Bradford County, PA	Homeownership Rate	2009-01-01	77.29862215156332
12007	Bradford County, FL	Homeownership Rate	2009-01-01	82.58622761687297
47011	Bradley County, TN	Homeownership Rate	2009-01-01	70.08115011154099
05011	Bradley County, AR	Homeownership Rate	2009-01-01	68.01675977653632
26023	Branch County, MI	Homeownership Rate	2009-01-01	82.17478605918632
13025	Brantley County, GA	Homeownership Rate	2009-01-01	85.83462934162779
54007	Braxton County, WV	Homeownership Rate	2009-01-01	79.73069250498718
48039	Brazoria County, TX	Homeownership Rate	2009-01-01	77.49984856421057
48041	Brazos County, TX	Homeownership Rate	2009-01-01	50.25685633064185
21025	Breathitt County, KY	Homeownership Rate	2009-01-01	73.0319563522993
21027	Breckinridge County, KY	Homeownership Rate	2009-01-01	79.25597306109358
19017	Bremer County, IA	Homeownership Rate	2009-01-01	83.40734759790068
12009	Brevard County, FL	Homeownership Rate	2009-01-01	77.60944330987859
48043	Brewster County, TX	Homeownership Rate	2009-01-01	60.52866384117779
48045	Briscoe County, TX	Homeownership Rate	2009-01-01	76.24763108022742
51520	Bristol City, VA	Homeownership Rate	2009-01-01	65.96267477914935
25005	Bristol County, MA	Homeownership Rate	2009-01-01	70.26107275383437
44001	Bristol County, RI	Homeownership Rate	2009-01-01	80.07273639327815
02060	Bristol Bay Borough, AK	Homeownership Rate	2009-01-01	58.65102639296188
30007	Broadwater County, MT	Homeownership Rate	2009-01-01	78.21380243572395
36005	Bronx County, NY	Homeownership Rate	2009-01-01	22.87755626614469
54009	Brooke County, WV	Homeownership Rate	2009-01-01	78.97981332754505
46011	Brookings County, SD	Homeownership Rate	2009-01-01	64.77329926046386
48047	Brooks County, TX	Homeownership Rate	2009-01-01	71.205634580859
13027	Brooks County, GA	Homeownership Rate	2009-01-01	76.67002772876229
36007	Broome County, NY	Homeownership Rate	2009-01-01	71.80159051085052
08014	Broomfield County, CO	Homeownership Rate	2009-01-01	80.88007261450021
12011	Broward County, FL	Homeownership Rate	2009-01-01	70.52963007068598
46013	Brown County, SD	Homeownership Rate	2009-01-01	76.23303640820231
31017	Brown County, NE	Homeownership Rate	2009-01-01	77.60000000000001
55009	Brown County, WI	Homeownership Rate	2009-01-01	71.53223993655075
48049	Brown County, TX	Homeownership Rate	2009-01-01	75.08310249307479
39015	Brown County, OH	Homeownership Rate	2009-01-01	79.33007289840361
27015	Brown County, MN	Homeownership Rate	2009-01-01	83.3606961090133
17009	Brown County, IL	Homeownership Rate	2009-01-01	74.48275862068967
20013	Brown County, KS	Homeownership Rate	2009-01-01	74.06697599354447
18013	Brown County, IN	Homeownership Rate	2009-01-01	83.70131651124521
46015	Brule County, SD	Homeownership Rate	2009-01-01	79.03700588730025
51025	Brunswick County, VA	Homeownership Rate	2009-01-01	69.42038640906063
37019	Brunswick County, NC	Homeownership Rate	2009-01-01	75.18322142155257
13029	Bryan County, GA	Homeownership Rate	2009-01-01	78.55078241802053
40013	Bryan County, OK	Homeownership Rate	2009-01-01	65.17734876352603
29021	Buchanan County, MO	Homeownership Rate	2009-01-01	71.45491535102852
19019	Buchanan County, IA	Homeownership Rate	2009-01-01	80.6339578339774
51027	Buchanan County, VA	Homeownership Rate	2009-01-01	81.33637520291317
51029	Buckingham County, VA	Homeownership Rate	2009-01-01	75.42699724517907
42017	Bucks County, PA	Homeownership Rate	2009-01-01	83.5446741131786
51530	Buena Vista City, VA	Homeownership Rate	2009-01-01	61.78486055776893
19021	Buena Vista County, IA	Homeownership Rate	2009-01-01	71.67287047526568
31019	Buffalo County, NE	Homeownership Rate	2009-01-01	70.54415195720311
